Home_Team,Away_Team,1D_gain_H,1D_gain_A,1D_allowed_H,1D_allowed_A,Yards_gain_H,Yards_gain_A,Yards_allowed_H,Yards_allowed_A,Winner,Line,,Concat1,Concat2,Line
Cleveland Browns,Houston Texans,20,16,16,20,356,243,243,356,Home,-4,,Cleveland BrownsHouston Texans,Pittsburgh SteelersCincinnati Bengals,-7
Carolina Panthers,Tampa Bay Buccaneers,13,30,30,13,187,544,544,187,Away,6,,Carolina PanthersTampa Bay Buccaneers,Tennessee TitansIndianapolis Colts,-1
New York Giants,Philadelphia Eagles,22,22,22,22,382,346,346,382,Home,4,,New York GiantsPhiladelphia Eagles,New York JetsNew England Patriots,9.5
Green Bay Packers,Jacksonville Jaguars,16,16,16,16,395,260,260,395,Home,-14,,Green Bay PackersJacksonville Jaguars,Tampa Bay BuccaneersNew Orleans Saints,-4
Detroit Lions,Washington Football Team,21,34,34,21,372,464,464,372,Home,-3,,Detroit LionsWashington Football Team,Arizona CardinalsMiami Dolphins,-5.5
Las Vegas Raiders,Denver Broncos,21,20,20,21,357,313,313,357,Home,-3.5,,Las Vegas RaidersDenver Broncos,Dallas CowboysPittsburgh Steelers,14
Miami Dolphins,Los Angeles Chargers,17,19,19,17,280,273,273,280,Home,-2,,Miami DolphinsLos Angeles Chargers,Los Angeles ChargersLas Vegas Raiders,1
Arizona Cardinals,Buffalo Bills,26,22,22,26,453,369,369,453,Home,-2.5,,Arizona CardinalsBuffalo Bills,Atlanta FalconsDenver Broncos,-4
Los Angeles Rams,Seattle Seahawks,24,20,20,24,389,333,333,389,Home,-3,,Los Angeles RamsSeattle Seahawks,Buffalo BillsSeattle Seahawks,3
Pittsburgh Steelers,Cincinnati Bengals,22,16,16,22,377,324,324,377,Home,-7,,Pittsburgh SteelersCincinnati Bengals,Indianapolis ColtsBaltimore Ravens,1
New Orleans Saints,San Francisco 49ers,17,21,21,17,237,281,281,237,Home,-9.5,,New Orleans SaintsSan Francisco 49ers,Jacksonville JaguarsHouston Texans,6.5
New England Patriots,Baltimore Ravens,25,19,19,25,308,357,357,308,Home,7,,New England PatriotsBaltimore Ravens,Kansas City ChiefsCarolina Panthers,-10
Chicago Bears,Minnesota Vikings,10,19,19,10,149,385,385,149,Away,3,,Chicago BearsMinnesota Vikings,Minnesota VikingsDetroit Lions,-4
Seattle Seahawks,Arizona Cardinals,22,24,24,22,347,314,314,347,Home,-3,,Seattle SeahawksArizona Cardinals,Tennessee TitansChicago Bears,-6.5
Cleveland Browns,Philadelphia Eagles,17,19,19,17,324,315,315,324,Home,-3,,Cleveland BrownsPhiladelphia Eagles,Washington Football TeamNew York Giants,-2.5
Carolina Panthers,Detroit Lions,20,10,10,20,374,185,185,374,Home,1.5,,Carolina PanthersDetroit Lions,San Francisco 49ersGreen Bay Packers,7.5
Washington Football Team,Cincinnati Bengals,20,18,18,20,325,272,272,325,Home,-1.5,,Washington Football TeamCincinnati Bengals,New York GiantsTampa Bay Buccaneers,12.5
Baltimore Ravens,Tennessee Titans,21,26,26,21,306,423,423,306,Away,-6,,Baltimore RavensTennessee Titans,Philadelphia EaglesDallas Cowboys,-11.5
New Orleans Saints,Atlanta Falcons,24,14,14,24,376,248,248,376,Home,-3.5,,New Orleans SaintsAtlanta Falcons,Chicago BearsNew Orleans Saints,4
Jacksonville Jaguars,Pittsburgh Steelers,14,23,23,14,206,373,373,206,Away,10.5,,Jacksonville JaguarsPittsburgh Steelers,Seattle SeahawksSan Francisco 49ers,-3
Houston Texans,New England Patriots,21,22,22,21,399,435,435,399,Home,2.5,,Houston TexansNew England Patriots,Denver BroncosLos Angeles Chargers,3.5
Los Angeles Chargers,New York Jets,28,20,20,28,376,292,292,376,Home,-9.5,,Los Angeles ChargersNew York Jets,Baltimore RavensPittsburgh Steelers,-4
Denver Broncos,Miami Dolphins,19,17,17,19,459,223,223,459,Home,3.5,,Denver BroncosMiami Dolphins,Buffalo BillsNew England Patriots,-4.5
Minnesota Vikings,Dallas Cowboys,24,24,24,24,430,376,376,430,Away,-7,,Minnesota VikingsDallas Cowboys,Cincinnati BengalsTennessee Titans,7
Indianapolis Colts,Green Bay Packers,23,21,21,23,420,367,367,420,Home,-1.5,,Indianapolis ColtsGreen Bay Packers,Cleveland BrownsLas Vegas Raiders,-1.5
Las Vegas Raiders,Kansas City Chiefs,25,36,36,25,364,460,460,364,Away,7.5,,Las Vegas RaidersKansas City Chiefs,Detroit LionsIndianapolis Colts,3
Tampa Bay Buccaneers,Los Angeles Rams,20,22,22,20,251,413,413,251,Away,-4.5,,Tampa Bay BuccaneersLos Angeles Rams,Green Bay PackersMinnesota Vikings,-6.5
Detroit Lions,Houston Texans,28,21,21,28,388,384,384,388,Away,3,,Detroit LionsHouston Texans,Kansas City ChiefsNew York Jets,-19.5
Dallas Cowboys,Washington Football Team,13,22,22,13,247,338,338,247,Away,-3,,Dallas CowboysWashington Football Team,Miami DolphinsLos Angeles Rams,3.5
Atlanta Falcons,Las Vegas Raiders,23,13,13,23,304,243,243,304,Home,3,,Atlanta FalconsLas Vegas Raiders,Carolina PanthersAtlanta Falcons,-2
New York Jets,Miami Dolphins,10,22,22,10,260,345,345,260,Away,7,,New York JetsMiami Dolphins,Los Angeles RamsChicago Bears,-6
New England Patriots,Arizona Cardinals,16,23,23,16,179,298,298,179,Home,2,,New England PatriotsArizona Cardinals,Las Vegas RaidersTampa Bay Buccaneers,3.5
Minnesota Vikings,Carolina Panthers,26,21,21,26,387,374,374,387,Home,-3,,Minnesota VikingsCarolina Panthers,Los Angeles ChargersJacksonville Jaguars,-7.5
Jacksonville Jaguars,Cleveland Browns,22,25,25,22,375,459,459,375,Away,7,,Jacksonville JaguarsCleveland Browns,Denver BroncosKansas City Chiefs,7
Indianapolis Colts,Tennessee Titans,27,28,28,27,336,449,449,336,Away,-3,,Indianapolis ColtsTennessee Titans,New England PatriotsSan Francisco 49ers,-3
Cincinnati Bengals,New York Giants,11,19,19,11,155,386,386,155,Away,6,,Cincinnati BengalsNew York Giants,Arizona CardinalsSeattle Seahawks,3.5
Buffalo Bills,Los Angeles Chargers,23,24,24,23,332,367,367,332,Home,-4.5,,Buffalo BillsLos Angeles Chargers,Atlanta FalconsDetroit Lions,-2
Los Angeles Rams,San Francisco 49ers,14,18,18,14,308,345,345,308,Away,-6.5,,Los Angeles RamsSan Francisco 49ers,Cincinnati BengalsCleveland Browns,3
Denver Broncos,New Orleans Saints,6,19,19,6,112,292,292,112,Away,14.5,,Denver BroncosNew Orleans Saints,Houston TexansGreen Bay Packers,3
Tampa Bay Buccaneers,Kansas City Chiefs,20,26,26,20,417,543,543,417,Away,3.5,,Tampa Bay BuccaneersKansas City Chiefs,New Orleans SaintsCarolina Panthers,-6.5
Green Bay Packers,Chicago Bears,28,26,26,28,393,350,350,393,Home,-9.5,,Green Bay PackersChicago Bears,Tennessee TitansPittsburgh Steelers,-1
Philadelphia Eagles,Seattle Seahawks,18,20,20,18,250,301,301,250,Away,6.5,,Philadelphia EaglesSeattle Seahawks,New York JetsBuffalo Bills,10
Pittsburgh Steelers,Baltimore Ravens,22,10,10,22,334,219,219,334,Home,-5,,Pittsburgh SteelersBaltimore Ravens,Washington Football TeamDallas Cowboys,-1
Chicago Bears,Detroit Lions,26,24,24,26,389,460,460,389,Away,-3,,Chicago BearsDetroit Lions,Philadelphia EaglesNew York Giants,-4.5
Atlanta Falcons,New Orleans Saints,21,23,23,21,332,424,424,332,Away,2.5,,Atlanta FalconsNew Orleans Saints,Dallas CowboysArizona Cardinals,1
Tennessee Titans,Cleveland Browns,25,26,26,25,431,458,458,431,Away,-3.5,,Tennessee TitansCleveland Browns,Buffalo BillsKansas City Chiefs,5
New York Jets,Las Vegas Raiders,24,24,24,24,376,440,440,376,Away,7.5,,New York JetsLas Vegas Raiders,San Francisco 49ersLos Angeles Rams,2.5
Minnesota Vikings,Jacksonville Jaguars,30,20,20,30,420,390,390,420,Home,-10,,Minnesota VikingsJacksonville Jaguars,Tampa Bay BuccaneersGreen Bay Packers,1
Miami Dolphins,Cincinnati Bengals,23,12,12,23,406,196,196,406,Home,-10,,Miami DolphinsCincinnati Bengals,Miami DolphinsNew York Jets,-9
Houston Texans,Indianapolis Colts,20,25,25,20,398,371,371,398,Away,3.5,,Houston TexansIndianapolis Colts,Carolina PanthersChicago Bears,-1.5
Arizona Cardinals,Los Angeles Rams,18,30,30,18,232,463,463,232,Away,2.5,,Arizona CardinalsLos Angeles Rams,Indianapolis ColtsCincinnati Bengals,-7.5
Seattle Seahawks,New York Giants,21,13,13,21,327,290,290,327,Away,-11,,Seattle SeahawksNew York Giants,Jacksonville JaguarsDetroit Lions,3
Los Angeles Chargers,New England Patriots,17,22,22,17,258,291,291,258,Away,-2,,Los Angeles ChargersNew England Patriots,Minnesota VikingsAtlanta Falcons,-4
Green Bay Packers,Philadelphia Eagles,20,17,17,20,437,278,278,437,Home,-8.5,,Green Bay PackersPhiladelphia Eagles,New England PatriotsDenver Broncos,-8
Kansas City Chiefs,Denver Broncos,25,19,19,25,447,330,330,447,Home,-13,,Kansas City ChiefsDenver Broncos,New York GiantsWashington Football Team,-2.5
Pittsburgh Steelers,Washington Football Team,17,18,18,17,326,318,318,326,Away,-6,,Pittsburgh SteelersWashington Football Team,Philadelphia EaglesBaltimore Ravens,10
San Francisco 49ers,Buffalo Bills,24,31,31,24,402,449,449,402,Away,-1.5,,San Francisco 49ersBuffalo Bills,Pittsburgh SteelersCleveland Browns,-3
Baltimore Ravens,Dallas Cowboys,19,29,29,19,401,388,388,401,Home,-8.5,,Baltimore RavensDallas Cowboys,Tennessee TitansHouston Texans,-3.5
Los Angeles Rams,New England Patriots,17,10,10,17,318,220,220,318,Home,-5,,Los Angeles RamsNew England Patriots,Tennessee TitansBuffalo Bills,3.5
Carolina Panthers,Denver Broncos,22,23,23,22,370,365,365,370,Away,-4,,Carolina PanthersDenver Broncos,New Orleans SaintsLos Angeles Chargers,-7
Tampa Bay Buccaneers,Minnesota Vikings,17,27,27,17,303,335,335,303,Home,-7,,Tampa Bay BuccaneersMinnesota Vikings,Seattle SeahawksMinnesota Vikings,-6.5
New York Giants,Arizona Cardinals,10,22,22,10,159,390,390,159,Away,3,,New York GiantsArizona Cardinals,Cleveland BrownsIndianapolis Colts,-1
Miami Dolphins,Kansas City Chiefs,27,22,22,27,367,448,448,367,Away,7,,Miami DolphinsKansas City Chiefs,Dallas CowboysNew York Giants,-8
Jacksonville Jaguars,Tennessee Titans,20,25,25,20,354,454,454,354,Away,7.5,,Jacksonville JaguarsTennessee Titans,San Francisco 49ersMiami Dolphins,-7.5
Cincinnati Bengals,Dallas Cowboys,18,16,16,18,309,272,272,309,Away,3,,Cincinnati BengalsDallas Cowboys,Atlanta FalconsCarolina Panthers,-2.5
Chicago Bears,Houston Texans,23,17,17,23,410,263,263,410,Home,1,,Chicago BearsHouston Texans,Baltimore RavensCincinnati Bengals,-11
Seattle Seahawks,New York Jets,28,12,12,28,410,185,185,410,Home,-16.5,,Seattle SeahawksNew York Jets,Houston TexansJacksonville Jaguars,-5.5
Las Vegas Raiders,Indianapolis Colts,26,25,25,26,424,456,456,424,Away,2.5,,Las Vegas RaidersIndianapolis Colts,Kansas City ChiefsLas Vegas Raiders,-10.5
San Francisco 49ers,Washington Football Team,21,12,12,21,344,193,193,344,Away,-3,,San Francisco 49ersWashington Football Team,New York JetsArizona Cardinals,7
Los Angeles Chargers,Atlanta Falcons,23,19,19,23,345,319,319,345,Home,-1,,Los Angeles ChargersAtlanta Falcons,Pittsburgh SteelersPhiladelphia Eagles,-7
Philadelphia Eagles,New Orleans Saints,21,20,20,21,413,358,358,413,Home,7.5,,Philadelphia EaglesNew Orleans Saints,Washington Football TeamLos Angeles Rams,7
Detroit Lions,Green Bay Packers,27,26,26,27,293,410,410,293,Away,9,,Detroit LionsGreen Bay Packers,Chicago BearsTampa Bay Buccaneers,3.5
Buffalo Bills,Pittsburgh Steelers,21,14,14,21,334,224,224,334,Home,-2,,Buffalo BillsPittsburgh Steelers,Green Bay PackersAtlanta Falcons,-7
Cleveland Browns,Baltimore Ravens,33,25,25,33,493,385,385,493,Away,3,,Cleveland BrownsBaltimore Ravens,Kansas City ChiefsNew England Patriots,-7
Las Vegas Raiders,Los Angeles Chargers,27,27,27,27,449,402,402,449,Away,-3.5,,Las Vegas RaidersLos Angeles Chargers,San Francisco 49ersPhiladelphia Eagles,-7.5
Denver Broncos,Buffalo Bills,19,29,29,19,255,534,534,255,Away,6,,Denver BroncosBuffalo Bills,Las Vegas RaidersBuffalo Bills,3
Green Bay Packers,Carolina Panthers,20,20,20,20,291,364,364,291,Home,-9,,Green Bay PackersCarolina Panthers,Los Angeles RamsNew York Giants,-13
Washington Football Team,Seattle Seahawks,26,16,16,26,353,302,302,353,Away,6,,Washington Football TeamSeattle Seahawks,Carolina PanthersArizona Cardinals,3
Baltimore Ravens,Jacksonville Jaguars,26,17,17,26,409,267,267,409,Home,-12.5,,Baltimore RavensJacksonville Jaguars,Chicago BearsIndianapolis Colts,3
Tennessee Titans,Detroit Lions,28,27,27,28,463,430,430,463,Home,-8.5,,Tennessee TitansDetroit Lions,Cincinnati BengalsJacksonville Jaguars,-2.5
Minnesota Vikings,Chicago Bears,26,23,23,26,407,397,397,407,Away,-3,,Minnesota VikingsChicago Bears,Dallas CowboysCleveland Browns,-3.5
Miami Dolphins,New England Patriots,26,18,18,26,383,303,303,383,Home,1,,Miami DolphinsNew England Patriots,Detroit LionsNew Orleans Saints,3
Dallas Cowboys,San Francisco 49ers,15,28,28,15,291,458,458,291,Home,4,,Dallas CowboysSan Francisco 49ers,Houston TexansMinnesota Vikings,-3.5
Indianapolis Colts,Houston Texans,20,22,22,20,350,425,425,350,Home,-7.5,,Indianapolis ColtsHouston Texans,Miami DolphinsSeattle Seahawks,5.5
Atlanta Falcons,Tampa Bay Buccaneers,23,27,27,23,369,416,416,369,Away,6,,Atlanta FalconsTampa Bay Buccaneers,Tampa Bay BuccaneersLos Angeles Chargers,-7
Los Angeles Rams,New York Jets,16,17,17,16,303,289,289,303,Away,-17,,Los Angeles RamsNew York Jets,Washington Football TeamBaltimore Ravens,14
Arizona Cardinals,Philadelphia Eagles,26,26,26,26,526,422,422,526,Home,-6,,Arizona CardinalsPhiladelphia Eagles,New York JetsDenver Broncos,-1.5
New Orleans Saints,Kansas City Chiefs,15,34,34,15,285,411,411,285,Away,2.5,,New Orleans SaintsKansas City Chiefs,Baltimore RavensKansas City Chiefs,-3
New York Giants,Cleveland Browns,14,24,24,14,288,392,392,288,Away,6.5,,New York GiantsCleveland Browns,New Orleans SaintsGreen Bay Packers,-3
Cincinnati Bengals,Pittsburgh Steelers,13,12,12,13,230,244,244,230,Home,14.5,,Cincinnati BengalsPittsburgh Steelers,Arizona CardinalsDetroit Lions,-5.5
New Orleans Saints,Minnesota Vikings,36,25,25,36,583,364,364,583,Home,-6.5,,New Orleans SaintsMinnesota Vikings,Denver BroncosTampa Bay Buccaneers,6
Detroit Lions,Tampa Bay Buccaneers,12,30,30,12,186,588,588,186,Away,12,,Detroit LionsTampa Bay Buccaneers,Seattle SeahawksDallas Cowboys,-5
Arizona Cardinals,San Francisco 49ers,20,22,22,20,350,398,398,350,Away,-6,,Arizona CardinalsSan Francisco 49ers,Indianapolis ColtsNew York Jets,-11.5
Las Vegas Raiders,Miami Dolphins,23,18,18,23,418,383,383,418,Away,2.5,,Las Vegas RaidersMiami Dolphins,Los Angeles ChargersCarolina Panthers,-6.5
Baltimore Ravens,New York Giants,25,24,24,25,432,269,269,432,Home,-9.5,,Baltimore RavensNew York Giants,Atlanta FalconsChicago Bears,-3
Pittsburgh Steelers,Indianapolis Colts,26,21,21,26,354,365,365,354,Home,1,,Pittsburgh SteelersIndianapolis Colts,Buffalo BillsLos Angeles Rams,-2
New York Jets,Cleveland Browns,18,23,23,18,333,299,299,333,Home,6.5,,New York JetsCleveland Browns,Cleveland BrownsWashington Football Team,-7
Kansas City Chiefs,Atlanta Falcons,23,23,23,23,395,367,367,395,Home,-11,,Kansas City ChiefsAtlanta Falcons,Minnesota VikingsTennessee Titans,2.5
Jacksonville Jaguars,Chicago Bears,14,28,28,14,279,391,391,279,Away,9.5,,Jacksonville JaguarsChicago Bears,New England PatriotsLas Vegas Raiders,-6.5
Houston Texans,Cincinnati Bengals,23,27,27,23,488,540,540,488,Away,-7.5,,Houston TexansCincinnati Bengals,New York GiantsSan Francisco 49ers,3
Washington Football Team,Carolina Panthers,20,19,19,20,386,280,280,386,Away,1,,Washington Football TeamCarolina Panthers,Philadelphia EaglesCincinnati Bengals,-4.5
Los Angeles Chargers,Denver Broncos,16,23,23,16,316,396,396,316,Home,-2,,Los Angeles ChargersDenver Broncos,Pittsburgh SteelersHouston Texans,-4
Seattle Seahawks,Los Angeles Rams,15,20,20,15,292,334,334,292,Home,-3,,Seattle SeahawksLos Angeles Rams,Jacksonville JaguarsMiami Dolphins,-3
Dallas Cowboys,Philadelphia Eagles,22,24,24,22,513,477,477,513,Home,3,,Dallas CowboysPhiladelphia Eagles,Las Vegas RaidersNew Orleans Saints,5.5
Green Bay Packers,Tennessee Titans,27,15,15,27,448,260,260,448,Home,-3,,Green Bay PackersTennessee Titans,Seattle SeahawksNew England Patriots,-4
New England Patriots,Buffalo Bills,11,31,31,11,201,474,474,201,Away,7,,New England PatriotsBuffalo Bills,Houston TexansBaltimore Ravens,7
Buffalo Bills,Miami Dolphins,24,27,27,24,455,454,454,455,Home,3,,Buffalo BillsMiami Dolphins,Los Angeles ChargersKansas City Chiefs,8.5
Tampa Bay Buccaneers,Atlanta Falcons,28,25,25,28,485,385,385,485,Home,-7,,Tampa Bay BuccaneersAtlanta Falcons,Arizona CardinalsWashington Football Team,-7
New York Giants,Dallas Cowboys,22,26,26,22,336,307,307,336,Home,1.5,,New York GiantsDallas Cowboys,Chicago BearsNew York Giants,-5.5
New England Patriots,New York Jets,23,21,21,23,404,350,350,404,Home,-3,,New England PatriotsNew York Jets,Dallas CowboysAtlanta Falcons,-3.5
Detroit Lions,Minnesota Vikings,21,31,31,21,417,508,508,417,Away,3,,Detroit LionsMinnesota Vikings,Green Bay PackersDetroit Lions,-6
Cleveland Browns,Pittsburgh Steelers,21,18,18,21,358,394,394,358,Home,-10.5,,Cleveland BrownsPittsburgh Steelers,Indianapolis ColtsMinnesota Vikings,-3
Cincinnati Bengals,Baltimore Ravens,10,24,24,10,195,525,525,195,Away,13.5,,Cincinnati BengalsBaltimore Ravens,Miami DolphinsBuffalo Bills,5.5
Chicago Bears,Green Bay Packers,21,17,17,21,356,316,316,356,Away,4.5,,Chicago BearsGreen Bay Packers,New York JetsSan Francisco 49ers,7
Carolina Panthers,New Orleans Saints,17,20,20,17,320,347,347,320,Away,6,,Carolina PanthersNew Orleans Saints,Philadelphia EaglesLos Angeles Rams,-1.5
San Francisco 49ers,Seattle Seahawks,17,21,21,17,328,280,280,328,Away,7,,San Francisco 49ersSeattle Seahawks,Pittsburgh SteelersDenver Broncos,-6.5
Los Angeles Rams,Arizona Cardinals,21,15,15,21,333,214,214,333,Home,-1,,Los Angeles RamsArizona Cardinals,Tampa Bay BuccaneersCarolina Panthers,-8
Kansas City Chiefs,Los Angeles Chargers,18,29,29,18,268,416,416,268,Away,6.5,,Kansas City ChiefsLos Angeles Chargers,Tennessee TitansJacksonville Jaguars,-7.5
Houston Texans,Tennessee Titans,26,28,28,26,457,492,492,457,Away,7,,Houston TexansTennessee Titans,Cleveland BrownsCincinnati Bengals,-6
Denver Broncos,Las Vegas Raiders,24,22,22,24,446,465,465,446,Away,2.5,,Denver BroncosLas Vegas Raiders,Denver BroncosTennessee Titans,3
Indianapolis Colts,Jacksonville Jaguars,23,18,18,23,437,283,283,437,Home,-15.5,,Indianapolis ColtsJacksonville Jaguars,New York GiantsPittsburgh Steelers,5.5
Philadelphia Eagles,Washington Football Team,16,16,16,16,216,248,248,216,Away,6.5,,Philadelphia EaglesWashington Football Team,Los Angeles RamsDallas Cowboys,2
Buffalo Bills,Indianapolis Colts,22,27,27,22,397,472,472,397,Home,-7,,Buffalo BillsIndianapolis Colts,New Orleans SaintsTampa Bay Buccaneers,-3.5
Seattle Seahawks,Los Angeles Rams,11,16,16,11,278,333,333,278,Away,-3,,Seattle SeahawksLos Angeles Rams,San Francisco 49ersArizona Cardinals,-6.5
Washington Football Team,Tampa Bay Buccaneers,23,26,26,23,375,507,507,375,Away,10,,Washington Football TeamTampa Bay Buccaneers,Cincinnati BengalsLos Angeles Chargers,3
Tennessee Titans,Baltimore Ravens,12,22,22,12,209,401,401,209,Away,3.5,,Tennessee TitansBaltimore Ravens,Atlanta FalconsSeattle Seahawks,1
New Orleans Saints,Chicago Bears,27,11,11,27,385,239,239,385,Home,-11,,New Orleans SaintsChicago Bears,Baltimore RavensCleveland Browns,-7
Pittsburgh Steelers,Cleveland Browns,34,20,20,34,553,390,390,553,Away,-5.5,,Pittsburgh SteelersCleveland Browns,Buffalo BillsNew York Jets,-6.5
Green Bay Packers,Los Angeles Rams,28,17,17,28,484,244,244,484,Home,-7,,Green Bay PackersLos Angeles Rams,Carolina PanthersLas Vegas Raiders,3
Buffalo Bills,Baltimore Ravens,17,19,19,17,220,340,340,220,Home,-2.5,,Buffalo BillsBaltimore Ravens,Detroit LionsChicago Bears,-2.5
Kansas City Chiefs,Cleveland Browns,24,21,21,24,438,308,308,438,Home,-8,,Kansas City ChiefsCleveland Browns,Jacksonville JaguarsIndianapolis Colts,8
New Orleans Saints,Tampa Bay Buccaneers,20,20,20,20,294,316,316,294,Away,-2.5,,New Orleans SaintsTampa Bay Buccaneers,Minnesota VikingsGreen Bay Packers,-2.5
Green Bay Packers,Tampa Bay Buccaneers,23,19,19,23,381,351,351,381,Away,-3,,Green Bay PackersTampa Bay Buccaneers,New England PatriotsMiami Dolphins,-7
Kansas City Chiefs,Buffalo Bills,29,24,24,29,439,363,363,439,Home,-3,,Kansas City ChiefsBuffalo Bills,Washington Football TeamPhiladelphia Eagles,5
Tampa Bay Buccaneers,Kansas City Chiefs,22,26,26,22,350,340,340,350,Away,3.5,,Tampa Bay BuccaneersKansas City Chiefs,Kansas City ChiefsHouston Texans,-9
